Lagerpeton chanarensis,237.0,237.0
Dromomeron gregorii,208.5,208.5
Dromomeron romeri,212.0,208.5
Marasuchus lilloensis,237.0,237.0
Lewisuchus admixtus,237.0,237.0
Asilisaurus kongwe,242.0,242.0
Eucoelophysis baldwini,208.5,208.5
Silesaurus opolensis,208.5,208.5
Sacisaurus agudoensis,208.5,208.5
Diodorus scytobrachion,208.5,208.5
Pisanosaurus mertii,228.0,228.0
Echinodon becklesii,140.2,140.2
Fruitadens haagarorum,145.0,145.0
Tianyulong confuciusi,150.8,150.8
Lycorhinus angustidens,190.8,190.8
Pegomastax africanus,190.8,190.8
Manidens condorensis,168.3,168.3
Abrictosaurus consors,190.8,190.8
Heterodontosaurus tucki,190.8,190.8
Lesothosaurus diagnosticus,190.8,190.8
Scutellosaurus lawleri,182.7,182.7
Emausaurus ernsti,182.0,182.0
Scelidosaurus harrisonii,190.8,190.8
Chungkingosaurus jiangbeiensis,157.3,157.3
Huayangosaurus taibaii,163.5,163.5
Dacentrurus armatus,150.8,125.45
Kentrosaurus aethiopicus,157.3,145.0
Loricatosaurus priscus,161.2,161.2
Paranthodon africanus,136.4,136.4
Tuojiangosaurus multispinus,157.3,157.3
Stegosaurus mjosi,152.1,150.8
Stegosaurus stenops,152.1,145.0
Stegosaurus ungulatus,150.8,145.0
Minmi paravertebra,125.0,99.6
Cedarpelta bilbeyhallorum,109.0,100.5
Gobisaurus domoculus,89.8,89.8
Shamosaurus scutatus,100.5,100.5
Tsagantegia longicranialis,89.8,89.8
Zhongyuanosaurus luoyangensis,89.8,89.8
Crichtonsaurus bohlini,89.8,89.8
Crichtonsaurus benxiensis,89.8,89.8
Dyoplosaurus acutesquamous,72.1,70.6
Pinacosaurus mephistocephalus,72.1,72.1
Ankylosaurus magniventris,66.0,66.0
Euoplocephalus tutus,72.1,70.6
Pinacosaurus grangeri,72.1,66.0
Nodocephalosaurus kirtlandensis,70.6,70.6
Talarurus plicatospineus,89.8,89.8
Tianzhenosaurus youngi,72.1,72.1
Saichania chulsanensis,72.1,66.0
Tarchia kielanae,72.1,66.0
Tarchia gigantea,72.1,66.0
Antarctopelta oliveroi,70.6,70.6
Mymoorapelta maysi,145.0,145.0
Anoplosaurus curtonotus,93.5,93.5
Hylaeosaurus armatus,136.4,109.0
Tatankacephalus cooneyorum,100.5,100.5
Gargoyleosaurus parkpinorum,152.1,152.1
Hoplitosaurus marshi,125.0,125.0
Gastonia burgei,125.0,125.0
Peloroplites cedrimontanus,109.0,109.0
Polacanthus foxii,125.45,99.6
Struthiosaurus transilvanicus,66.0,66.0
Zhejiangosaurus lishuiensis,93.9,93.9
Hungarosaurus tormai,83.6,83.6
Animantarx ramaljonesi,99.6,99.6
Niobrarasaurus coleii,85.8,83.5
Nodosaurus textilis,93.5,93.5
Pawpawsaurus campbelli,99.6,99.6
Sauropelta edwardsi,100.5,100.5
Silvisaurus condrayi,100.5,100.5
Stegopelta landerensis,93.5,93.5
Texasetes pleurohalio,99.6,99.6
Panoplosaurus mirus,70.6,70.6
Edmontonia longiceps,70.6,66.0
Edmontonia rugosidens,72.1,66.0
Stormbergia dangershoeki,190.8,190.8
Agilisaurus louderbacki,163.5,163.5
Hexinlusaurus multidens,163.5,163.5
Goyocephale lattimorei,66.0,66.0
Homalocephale calathocercos,66.0,66.0
Colepiocephale lambei,70.6,70.6
Stegoceras validum,72.1,70.6
Stegoceras novomexicanum,72.1,70.6
Amtocephale gobiensis,89.8,89.8
Prenocephale prenes,66.0,66.0
Tylocephale gilmorei,72.1,72.1
Hanssuesia sternbergi,72.1,72.1
Pachycephalosaurus wyomingensis,70.6,66.0
Yinlong downsi,157.3,157.3
Micropachycephalosaurus hongtuyanensis,72.1,72.1
Chaoyangsaurus youngi,132.9,132.9
Xuanhuaceratops niei,145.0,145.0
Psittacosaurus mongoliensis,113.0,100.5
Psittacosaurus neimongoliensis,100.5,100.5
Psittacosaurus sinensis,113.0,113.0
Psittacosaurus gobiensis,113.0,113.0
Liaoceratops yanzigouensis,122.46,122.46
Yamaceratops dorngobiensis,83.6,83.6
Archaeoceratops oshimai,113.0,113.0
Archaeoceratops yujingziensis,100.5,100.5
Koreaceratops hwaseongensis,100.5,100.5
Asiaceratops salsopaludalis,93.5,93.5
Cerasinops hodgskissi,72.1,72.1
Montanoceratops cerorynchus,66.0,66.0
Prenoceratops pieganensis,72.1,72.1
Leptoceratops gracilis,66.0,66.0
Udanoceratops tschizhovi,72.1,72.1
Zhuchengceratops inexpectus,72.1,72.1
Gryphoceratops morrisoni,83.5,83.5
Unescoceratops koppelhusae,70.6,70.6
Leptoceratopsidae,93.9,66.0
Graciliceratops mongoliensis,83.6,83.6
Bagaceratops rozhdestvenskyi,72.1,70.6
Protoceratops andrewsi,72.1,66.0
Turanoceratops tardabilis,89.3,86.3
Zuniceratops christopheri,89.3,89.3
Diabloceratops eatoni,70.6,70.6
Albertaceratops nesmoi,70.6,70.6
Centrosaurus apertus,72.1,70.6
Spinops sternbergorum,70.6,70.6
Styracosaurus albertensis,70.6,70.6
Centrosaurus brinkmani,72.1,70.6
Rubeosaurus ovatus,72.1,72.1
Einiosaurus procurvicornis,72.1,72.1
Achelousaurus horneri,72.1,70.6
Pachyrhinosaurus lakustai,70.6,70.6
Pachyrhinosaurus canadensis,66.0,66.0
Pachyrhinosaurus perotorum,66.0,66.0
Centrosaurinae,72.1,66.0
Chasmosaurus russelli,72.1,70.6
Chasmosaurus belli,70.6,70.6
Agujaceratops mariscalensis,70.6,70.6
Pentaceratops sternbergii,70.6,66.0
Utahceratops gettyi,72.1,72.1
Coahuilaceratops magnacuerna,70.6,70.6
Kosmoceratops richardsoni,72.1,72.1
Vagaceratops irvinensis,70.6,70.6
Anchiceratops ornatus,66.0,66.0
Arrhinoceratops brachyops,66.0,66.0
Eotriceratops xerinsularis,66.0,66.0
Ojoceratops fowleri,66.0,66.0
Nedoceratops hatcheri,70.6,66.0
Torosaurus latus,66.0,66.0
Triceratops horridus,70.6,66.0
Triceratops prorsus,66.0,66.0
Gideonmantellia amosanjuanae,125.45,125.45
Oryctodromeus cubicularis,93.9,93.9
Koreanosaurus boseongensis,72.1,72.1
Orodromeus makelai,72.1,66.0
Zephyrosaurus schaffi,100.5,100.5
Parksosaurus warreni,66.0,66.0
Thescelosaurus neglectus,70.6,66.0
Thescelosaurus assiniboiensis,66.0,66.0
Jeholosaurus shangyuanensis,122.46,122.46
Changchunsaurus parvus,93.9,93.9
Haya griva,83.6,83.6
Thescelosauridae,122.46,66.0
Hypsilophodon foxi,125.45,122.46
Gasparinisaura cincosaltensis,70.6,70.6
